title	category	speaker	date	url
Scale Models and Their Application to the Analysis of Lightning Transients in Ov	工程科学前沿讲坛	Alexandre Piantini（巴西圣保罗大学、教授、IEEE高级会员和CIGRE工作组C4.407和 C4.408成员）	2017-06-19	http://news.cqu.edu.cn/newsv2/show-24-316-1.html
State of the Art in DC Power Cables Design for Underground and Submarine Cable L	工程科学前沿讲坛	Aleksandra Rakowska（波兰波兹南工业大学、教授、副校长）	2017-06-19	http://news.cqu.edu.cn/newsv2/show-24-315-1.html
Advanced Technologies for Transmission Systems (HVAC and HVDC)	工程科学前沿讲坛	Michael Muhr （奥地利格拉茨工业大学、教授、副校长）	2017-06-19	http://news.cqu.edu.cn/newsv2/show-24-317-1.html
The Dielectric Response of Electro-active Dielectrics: Charge-spring Model for U	工程科学前沿讲坛	Reimund Gerhard（德国波茨坦大学、教授、美国物理学会院士和欧洲物理学会院士）	2017-06-19	http://news.cqu.edu.cn/newsv2/show-24-318-1.html
Coatings for Power Network Equipment	工程科学前沿讲坛	Masoud Farzaneh （加拿大魁北克大学，教授，IEEE 院士、IET院士和加拿大工程院院士）	2017-06-19	http://news.cqu.edu.cn/newsv2/show-24-321-1.html
Insulating Materials for Next Generations of HVAC and HVDC Cable Systems	工程科学前沿讲坛	Stanislaw Gubanski（瑞典查尔姆斯工业大学、教授、IEEE院士和CIGRE杰出会员）	2017-06-19	http://news.cqu.edu.cn/newsv2/show-24-319-1.html
高通量材料集成计算：基于材料基因工程的计算和数据方法	工程科学前沿讲坛	杨小渝，研究员	2017-06-19	http://news.cqu.edu.cn/newsv2/show-24-311-1.html
重庆大学第五届交叉学科学术研讨会	工程科学前沿讲坛	孙宏斌等	2017-06-16	http://news.cqu.edu.cn/newsv2/show-24-313-1.html
摹仿论与现实主义理论的反思	文字斋讲座	张旭东	2017-06-15	http://news.cqu.edu.cn/newsv2/show-24-308-1.html
丝状微藻的筛选与生物膜贴壁培养技术研究进展	工程科学前沿讲坛	刘天中 研究员	2017-06-15	http://news.cqu.edu.cn/newsv2/show-24-310-1.html
“编年”与“诗史”	重大讲座	张旭东	2017-06-13	http://news.cqu.edu.cn/newsv2/show-24-307-1.html
